query_id,condition,seed,clip_len,pooling,correct_rank,correct_place,mean_mse
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,5678,2,best_frame,1,amman:31,15.680000
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,5678,4,first,1,amman:31,15.680000
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,5678,4,mean,2,amman:31,15.680000
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,5678,4,max,1,amman:31,15.680000
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,5678,4,best_frame,1,amman:31,15.680000
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,5678,7,first,1,amman:31,15.680000
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,5678,7,mean,2,amman:31,15.680000
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,5678,7,max,1,amman:31,15.680000
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,5678,7,best_frame,1,amman:31,15.680000
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,5678,1,first,4,amman:31,15.680002
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,5678,1,mean,4,amman:31,15.680002
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,5678,1,max,4,amman:31,15.680002
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,5678,1,best_frame,4,amman:31,15.680002
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,5678,2,first,4,amman:31,15.680000
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,5678,2,mean,14,amman:31,15.680000
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,5678,2,max,12,amman:31,15.680000
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,5678,2,best_frame,7,amman:31,15.680000
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,5678,4,first,4,amman:31,15.680000
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,5678,4,mean,30,amman:31,15.680000
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,5678,4,max,14,amman:31,15.680000
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,5678,4,best_frame,41,amman:31,15.680000
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,5678,7,first,4,amman:31,15.680000
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,5678,7,mean,14,amman:31,15.680000
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,5678,7,max,3,amman:31,15.680000
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,5678,7,best_frame,4,amman:31,15.680000
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,5678,1,first,7,amman:31,15.679997
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,5678,1,mean,7,amman:31,15.679997
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,5678,1,max,7,amman:31,15.679997
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,5678,1,best_frame,7,amman:31,15.679997
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,5678,2,first,7,amman:31,15.679997
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,5678,2,mean,25,amman:31,15.679997
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,5678,2,max,17,amman:31,15.679997
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,5678,2,best_frame,29,amman:31,15.679997
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,5678,4,first,7,amman:31,15.679998
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,5678,4,mean,109,amman:31,15.679998
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,5678,4,max,23,amman:31,15.679998
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,5678,4,best_frame,103,amman:31,15.679998
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,5678,7,first,7,amman:31,15.679999
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,5678,7,mean,89,amman:31,15.679999
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,5678,7,max,22,amman:31,15.679999
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,5678,7,best_frame,196,amman:31,15.679999
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,9012,1,first,1,amman:31,15.679998
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,9012,1,mean,1,amman:31,15.679998
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,9012,1,max,1,amman:31,15.679998
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,9012,1,best_frame,1,amman:31,15.679998
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,9012,2,first,1,amman:31,15.679999
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,9012,2,mean,1,amman:31,15.679999
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,9012,2,max,1,amman:31,15.679999
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,9012,2,best_frame,1,amman:31,15.679999
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,9012,4,first,1,amman:31,15.679999
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,9012,4,mean,1,amman:31,15.679999
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,9012,4,max,1,amman:31,15.679999
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,9012,4,best_frame,1,amman:31,15.679999
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,9012,7,first,1,amman:31,15.679998
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,9012,7,mean,4,amman:31,15.679998
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,9012,7,max,1,amman:31,15.679998
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,9012,7,best_frame,1,amman:31,15.679998
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,9012,1,first,26,amman:31,15.679997
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,9012,1,mean,26,amman:31,15.679997
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,9012,1,max,26,amman:31,15.679997
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,9012,1,best_frame,26,amman:31,15.679997
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,9012,2,first,26,amman:31,15.679997
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,9012,2,mean,64,amman:31,15.679997
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,9012,2,max,39,amman:31,15.679997
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,9012,2,best_frame,26,amman:31,15.679997
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,9012,4,first,26,amman:31,15.679998
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,9012,4,mean,36,amman:31,15.679998
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,9012,4,max,11,amman:31,15.679998
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,9012,4,best_frame,8,amman:31,15.679998
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,9012,7,first,26,amman:31,15.679998
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,9012,7,mean,11,amman:31,15.679998
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,9012,7,max,4,amman:31,15.679998
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,9012,7,best_frame,3,amman:31,15.679998
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,9012,1,first,6,amman:31,15.679996
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,9012,1,mean,6,amman:31,15.679996
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,9012,1,max,6,amman:31,15.679996
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,9012,1,best_frame,6,amman:31,15.679996
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,9012,2,first,6,amman:31,15.679997
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,9012,2,mean,27,amman:31,15.679997
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,9012,2,max,17,amman:31,15.679997
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,9012,2,best_frame,16,amman:31,15.679997
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,9012,4,first,6,amman:31,15.679998
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,9012,4,mean,118,amman:31,15.679998
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,9012,4,max,29,amman:31,15.679998
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,9012,4,best_frame,24,amman:31,15.679998
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,9012,7,first,6,amman:31,15.679998
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,9012,7,mean,58,amman:31,15.679998
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,9012,7,max,22,amman:31,15.679998
amman_query_-39Q9edqZUArYHa41OPDoQ,hardened,9012,7,best_frame,76,amman:31,15.679998
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,1234,1,first,29,amman:29,15.679998
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,1234,1,mean,29,amman:29,15.679998
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,1234,1,max,29,amman:29,15.679998
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,1234,1,best_frame,29,amman:29,15.679998
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,1234,2,first,29,amman:29,15.679998
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,1234,2,mean,4,amman:29,15.679998
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,1234,2,max,3,amman:29,15.679998
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,1234,2,best_frame,2,amman:29,15.679998
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,1234,4,first,29,amman:29,15.679998
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,1234,4,mean,4,amman:29,15.679998
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,1234,4,max,1,amman:29,15.679998
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,1234,4,best_frame,4,amman:29,15.679998
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,1234,7,first,29,amman:29,15.679998
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,1234,7,mean,2,amman:29,15.679998
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,1234,7,max,1,amman:29,15.679998
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,1234,7,best_frame,5,amman:29,15.679998
amman_query_-L_vanPrT4RcWlLbzCqMKA,direction,1234,1,first,38,amman:29,15.679997
