query_id,condition,serialisation,seed,eval_backbone,linf_projection,release_gain,max_abs_delta_prescale,mse_prescale,max_abs_delta_float,mse_float,clipped_frac_float,max_abs_delta_decoded,mse_decoded,bytes,top1,top5,top10,rank_of_positive
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,float,5678,resnet18,16.0,3.128155647203614,16.00000762939453,25.146398544311523,50.050514221191406,241.50003051757812,0.0174696184694767,50.050514221191406,241.50003051757812,0,0.0,0.0,0.0,177
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,png,5678,resnet18,16.0,3.128155647203614,16.00000762939453,25.146398544311523,50.050514221191406,241.50003051757812,0.0174696184694767,50.54856872558594,241.5702362060547,139171,0.0,0.0,0.0,172
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,jpeg95,5678,resnet18,16.0,3.128155647203614,16.00000762939453,25.146398544311523,50.050514221191406,241.50003051757812,0.0174696184694767,61.31999206542969,258.7613830566406,74179,0.0,0.0,0.0,186
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,jpeg75,5678,resnet18,16.0,3.128155647203614,16.00000762939453,25.146398544311523,50.050514221191406,241.50003051757812,0.0174696184694767,81.82499694824219,215.83143615722656,22267,0.0,0.0,0.0,194
amman_query_-39Q9edqZUArYHa41OPDoQ,direction_eot,float,5678,resnet18,16.0,2.4613468831315597,16.00000762939453,40.42466354370117,39.381568908691406,241.49993896484375,0.01625976525247097,39.381568908691406,241.49993896484375,0,0.0,0.0,0.0,263
amman_query_-39Q9edqZUArYHa41OPDoQ,direction_eot,png,5678,resnet18,16.0,2.4613468831315597,16.00000762939453,40.42466354370117,39.381568908691406,241.49993896484375,0.01625976525247097,39.8800048828125,241.57400512695312,135866,0.0,0.0,0.0,261
amman_query_-39Q9edqZUArYHa41OPDoQ,direction_eot,jpeg95,5678,resnet18,16.0,2.4613468831315597,16.00000762939453,40.42466354370117,39.381568908691406,241.49993896484375,0.01625976525247097,56.61500549316406,256.73846435546875,70017,0.0,0.0,0.0,226
amman_query_-39Q9edqZUArYHa41OPDoQ,direction_eot,jpeg75,5678,resnet18,16.0,2.4613468831315597,16.00000762939453,40.42466354370117,39.381568908691406,241.49993896484375,0.01625976525247097,64.46002197265625,225.14431762695312,22006,0.0,0.0,0.0,162
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,float,5678,resnet18,,15.735339495858907,4.70884895324707,1.0045853853225708,74.0953369140625,241.5,0.02007921040058136,74.0953369140625,241.5,0,0.0,1.0,1.0,2
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,png,5678,resnet18,,15.735339495858907,4.70884895324707,1.0045853853225708,74.0953369140625,241.5,0.02007921040058136,73.97500610351562,241.57760620117188,148395,0.0,1.0,1.0,2
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,jpeg95,5678,resnet18,,15.735339495858907,4.70884895324707,1.0045853853225708,74.0953369140625,241.5,0.02007921040058136,76.43500518798828,259.38824462890625,83439,0.0,1.0,1.0,2
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,jpeg75,5678,resnet18,,15.735339495858907,4.70884895324707,1.0045853853225708,74.0953369140625,241.5,0.02007921040058136,73.8550033569336,180.75523376464844,24227,0.0,1.0,1.0,4
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,float,9012,resnet18,16.0,3.1476277601109697,16.00000762939453,24.855730056762695,50.36206817626953,241.49998474121094,0.01761610247194767,50.36206817626953,241.49998474121094,0,0.0,0.0,0.0,157
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,png,9012,resnet18,16.0,3.1476277601109697,16.00000762939453,24.855730056762695,50.36206817626953,241.49998474121094,0.01761610247194767,50.860008239746094,241.60675048828125,139425,0.0,0.0,0.0,160
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,jpeg95,9012,resnet18,16.0,3.1476277601109697,16.00000762939453,24.855730056762695,50.36206817626953,241.49998474121094,0.01761610247194767,63.0,258.7754821777344,74045,0.0,0.0,0.0,185
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,jpeg75,9012,resnet18,16.0,3.1476277601109697,16.00000762939453,24.855730056762695,50.36206817626953,241.49998474121094,0.01761610247194767,76.14999389648438,216.33282470703125,22335,0.0,0.0,0.0,71
amman_query_-39Q9edqZUArYHa41OPDoQ,direction_eot,float,9012,resnet18,16.0,2.5018017283431395,16.00000762939453,39.07406234741211,40.028846740722656,241.49998474121094,0.015245226211845875,40.028846740722656,241.49998474121094,0,0.0,0.0,0.0,165
amman_query_-39Q9edqZUArYHa41OPDoQ,direction_eot,png,9012,resnet18,16.0,2.5018017283431395,16.00000762939453,39.07406234741211,40.028846740722656,241.49998474121094,0.015245226211845875,40.52500915527344,241.58468627929688,136068,0.0,0.0,0.0,167
amman_query_-39Q9edqZUArYHa41OPDoQ,direction_eot,jpeg95,9012,resnet18,16.0,2.5018017283431395,16.00000762939453,39.07406234741211,40.028846740722656,241.49998474121094,0.015245226211845875,56.08000183105469,256.5393371582031,70059,0.0,0.0,0.0,172
amman_query_-39Q9edqZUArYHa41OPDoQ,direction_eot,jpeg75,9012,resnet18,16.0,2.5018017283431395,16.00000762939453,39.07406234741211,40.028846740722656,241.49998474121094,0.015245226211845875,73.13999938964844,225.85842895507812,21933,0.0,0.0,0.0,126
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,float,9012,resnet18,,15.774068987223039,4.68452787399292,0.9997115731239319,73.8940658569336,241.49998474121094,0.0201280377805233,73.8940658569336,241.49998474121094,0,0.0,1.0,1.0,3
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,png,9012,resnet18,,15.774068987223039,4.68452787399292,0.9997115731239319,73.8940658569336,241.49998474121094,0.0201280377805233,73.80999755859375,241.57888793945312,148330,0.0,1.0,1.0,3
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,jpeg95,9012,resnet18,,15.774068987223039,4.68452787399292,0.9997115731239319,73.8940658569336,241.49998474121094,0.0201280377805233,72.6500015258789,259.7760009765625,83442,0.0,1.0,1.0,3
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,jpeg75,9012,resnet18,,15.774068987223039,4.68452787399292,0.9997115731239319,73.8940658569336,241.49998474121094,0.0201280377805233,66.68499755859375,178.43502807617188,24021,0.0,1.0,1.0,4
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,direction,float,5678,resnet18,16.0,3.1735806051300512,16.000003814697266,25.186124801635742,50.77730178833008,241.49996948242188,0.04059245064854622,50.77730178833008,241.49996948242188,0,0.0,0.0,0.0,122
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,direction,png,5678,resnet18,16.0,3.1735806051300512,16.000003814697266,25.186124801635742,50.77730178833008,241.49996948242188,0.04059245064854622,51.27631378173828,241.60647583007812,140208,0.0,0.0,0.0,121
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,direction,jpeg95,5678,resnet18,16.0,3.1735806051300512,16.000003814697266,25.186124801635742,50.77730178833008,241.49996948242188,0.04059245064854622,61.46929931640625,256.6564636230469,74821,0.0,0.0,0.0,135
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,direction,jpeg75,5678,resnet18,16.0,3.1735806051300512,16.000003814697266,25.186124801635742,50.77730178833008,241.49996948242188,0.04059245064854622,98.12277221679688,214.37969970703125,22781,0.0,0.0,0.0,71
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,direction_eot,float,5678,resnet18,16.0,2.507365461652059,16.00000762939453,39.71735382080078,40.11786651611328,241.5000457763672,0.03492838516831398,40.11786651611328,241.5000457763672,0,0.0,0.0,0.0,255
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,direction_eot,png,5678,resnet18,16.0,2.507365461652059,16.00000762939453,39.71735382080078,40.11786651611328,241.5000457763672,0.03492838516831398,40.616065979003906,241.58750915527344,137133,0.0,0.0,0.0,254
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,direction_eot,jpeg95,5678,resnet18,16.0,2.507365461652059,16.00000762939453,39.71735382080078,40.11786651611328,241.5000457763672,0.03492838516831398,53.40400695800781,255.6170654296875,70636,0.0,0.0,0.0,255
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,direction_eot,jpeg75,5678,resnet18,16.0,2.507365461652059,16.00000762939453,39.71735382080078,40.11786651611328,241.5000457763672,0.03492838516831398,72.05580139160156,225.54019165039062,22370,0.0,0.0,0.0,249
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,isotropic,float,5678,resnet18,,16.125914116331188,4.780349254608154,0.9982656240463257,77.0875015258789,241.49996948242188,0.04857856035232544,77.0875015258789,241.49996948242188,0,1.0,1.0,1.0,1
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,isotropic,png,5678,resnet18,,16.125914116331188,4.780349254608154,0.9982656240463257,77.0875015258789,241.49996948242188,0.04857856035232544,77.22305297851562,241.57261657714844,149030,1.0,1.0,1.0,1
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,isotropic,jpeg95,5678,resnet18,,16.125914116331188,4.780349254608154,0.9982656240463257,77.0875015258789,241.49996948242188,0.04857856035232544,78.22305297851562,256.6632995605469,84326,1.0,1.0,1.0,1
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,isotropic,jpeg75,5678,resnet18,,16.125914116331188,4.780349254608154,0.9982656240463257,77.0875015258789,241.49996948242188,0.04857856035232544,79.95832824707031,177.87802124023438,24723,1.0,1.0,1.0,1
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,direction,float,9012,resnet18,16.0,3.1541718701496744,16.00000762939453,25.522804260253906,50.466773986816406,241.49996948242188,0.04165581613779068,50.466773986816406,241.49996948242188,0,0.0,0.0,0.0,49
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,direction,png,9012,resnet18,16.0,3.1541718701496744,16.00000762939453,25.522804260253906,50.466773986816406,241.49996948242188,0.04165581613779068,50.96205520629883,241.58885192871094,140427,0.0,0.0,0.0,49
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,direction,jpeg95,9012,resnet18,16.0,3.1541718701496744,16.00000762939453,25.522804260253906,50.466773986816406,241.49996948242188,0.04165581613779068,64.234375,256.5105895996094,74558,0.0,0.0,0.0,53
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,direction,jpeg75,9012,resnet18,16.0,3.1541718701496744,16.00000762939453,25.522804260253906,50.466773986816406,241.49996948242188,0.04165581613779068,84.47368621826172,214.57778930664062,22744,0.0,0.0,0.0,27
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,direction_eot,float,9012,resnet18,16.0,2.5039131622728528,16.00000762939453,39.844688415527344,40.06262969970703,241.49996948242188,0.03538411483168602,40.06262969970703,241.49996948242188,0,0.0,0.0,0.0,176
