query_id,backbone,map,n_probes,spearman_vs_jacobian,topdecile_jaccard_vs_jacobian,topdecile_concentration,gini,pred_margin_sd,obs_margin_sd,pred_over_obs,rank_flip_rate,clean_margin,energy_preclamp,energy_postclamp,clamp_loss_frac,jacobian_split_half_spearman
amman_query_-39Q9edqZUArYHa41OPDoQ,resnet18,jacobian_colnorm,32,1.0,1.0,0.44020935417174195,0.3051421941642596,0.010969687813904614,0.005129829326298127,2.1384118488442465,0.0,0.012385010719299316,2949487.22265625,2941305.515625,0.002773942185069619,0.925699936851994
amman_query_-39Q9edqZUArYHa41OPDoQ,resnet18,score_gradient,32,0.620293262564879,0.31803067682076586,0.6558019646117788,0.45009000632061014,0.012430550290708726,0.005157001152512136,2.4104222440697765,0.0,0.012385010719299316,2955254.49609375,2939492.52734375,0.005333540231758091,0.925699936851994
amman_query_-39Q9edqZUArYHa41OPDoQ,resnet18,margin_gradient,32,0.585633556745763,0.2922494478914712,0.6295021295785528,0.43634032916099064,0.019079919874445055,0.0056834637429889435,3.3570936205904065,0.0,0.012385010719299316,2945901.68359375,2917418.734375,0.009668669316894248,0.925699936851994
amman_query_-39Q9edqZUArYHa41OPDoQ,resnet18,uniform,32,nan,0.020089656317449776,0.1,0.0,0.005917345561445929,0.004736899498238144,1.2492022606024984,0.0,0.012385010719299316,2949151.09375,2941717.6953125,0.0025205213979213404,0.925699936851994
amman_query_-39Q9edqZUArYHa41OPDoQ,resnet18,jacobian_colnorm,128,1.0,1.0,0.4388593105901181,0.30197137582115907,0.01120541008173635,0.005040575310128584,2.2230418934957847,0.0,0.012385010719299316,2953353.84375,2943380.875,0.0033768282696992695,0.9801080894150567
amman_query_-39Q9edqZUArYHa41OPDoQ,resnet18,score_gradient,128,0.6245954212025459,0.3177479892761394,0.6558018216848716,0.4500900442223701,0.012430559655964105,0.005532290250659942,2.246910247429855,0.0,0.012385010719299316,2948578.83984375,2934854.359375,0.004654608614595254,0.9801080894150567
amman_query_-39Q9edqZUArYHa41OPDoQ,resnet18,margin_gradient,128,0.6003078138249661,0.2938822786142993,0.629502118647484,0.43634028363356814,0.01907984665681356,0.005798336604276371,3.290572444990836,0.0,0.012385010719299316,2951772.3203125,2922045.4609375,0.010070851051226355,0.9801080894150567
amman_query_-39Q9edqZUArYHa41OPDoQ,resnet18,uniform,128,nan,0.020852371853451856,0.1,0.0,0.005917345561445929,0.004287080541313034,1.3802739427035775,0.0,0.012385010719299316,2950492.6015625,2943228.40234375,0.002462029294668653,0.9801080894150567
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,resnet18,jacobian_colnorm,32,1.0000000000000002,1.0,0.4344028145700833,0.30189225218854365,0.007436146923077898,0.003580898003351533,2.0766151161295445,0.0,0.04287445545196533,2946331.09375,2920093.88671875,0.008905043661558107,0.9303522255635648
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,resnet18,score_gradient,32,0.6250694128780476,0.31732418524871353,0.6406538239922472,0.44400800920944605,0.011455502225792731,0.003777581764445787,3.0324961682128886,0.0,0.04287445545196533,2949695.78125,2890563.484375,0.020046913736284137,0.9303522255635648
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,resnet18,margin_gradient,32,0.6069225236863066,0.30432013586668083,0.6762519682441306,0.4582349519082183,0.0148265176666036,0.004068495613036591,3.6442260424455943,0.0,0.04287445545196533,2954461.4609375,2871204.19921875,0.02818018201270802,0.9303522255635648
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,resnet18,uniform,32,nan,0.03443050761848641,0.1,0.0,0.003425820360431456,0.002025075031911184,1.6917004587224134,0.0,0.04287445545196533,2949108.1484375,2935803.71875,0.004511340045141772,0.9303522255635648
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,resnet18,jacobian_colnorm,128,1.0,1.0,0.42070658793092813,0.2943688523607233,0.006974259593805325,0.0028971197734772914,2.4073079952212035,0.0,0.04287445545196533,2950759.94921875,2922639.890625,0.009529768289418166,0.9808336527769757
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,resnet18,score_gradient,128,0.6257602576618805,0.3177479892761394,0.6406534952842391,0.44400792684605594,0.011455503496091854,0.002947980196580933,3.8858821064598548,0.0,0.04287445545196533,2948806.17578125,2890551.06640625,0.019755489476878222,0.9808336527769757
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,resnet18,margin_gradient,128,0.601342806494522,0.2926572690932043,0.6762522167218199,0.45823537777807655,0.014826482333318722,0.0037707476264786065,3.9319741870830933,0.0,0.04287445545196533,2950092.99609375,2864745.53515625,0.028930430684900272,0.9808336527769757
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,resnet18,uniform,128,nan,0.04144419018560895,0.1,0.0,0.003425820360431456,0.002474196560661359,1.3846193204293056,0.0,0.04287445545196533,2949585.10546875,2936358.1640625,0.0044843396387262285,0.9808336527769757
cph_query_--FyHVca3HP-QgUmcAvToA,resnet18,jacobian_colnorm,32,0.9999999999999998,1.0,0.41404839301762375,0.29096337877267375,0.010190676549983927,0.005348086192982803,1.9054809855822936,0.0,-0.02520298957824707,2950813.19140625,2917555.2109375,0.011270784801155257,0.9187308685656088
cph_query_--FyHVca3HP-QgUmcAvToA,resnet18,score_gradient,32,0.631173288527974,0.2966128521684077,0.6246583260608168,0.44157140184273214,0.01485739914877447,0.004791520657833891,3.1007690897634728,0.0,-0.02520298957824707,2947882.03125,2886544.0625,0.020807470617808497,0.9187308685656088
cph_query_--FyHVca3HP-QgUmcAvToA,resnet18,margin_gradient,32,0.6028581208518532,0.28967254408060455,0.5818984827017034,0.415015622768766,0.015836967352322127,0.006904698911951497,2.2936506796711393,0.0,-0.02520298957824707,2953501.9375,2898910.3828125,0.01848366984099871,0.9187308685656088
cph_query_--FyHVca3HP-QgUmcAvToA,resnet18,uniform,32,nan,0.05766913410225512,0.1,0.0,0.0061136760185256725,0.0040629377315860955,1.504742731102356,0.0,-0.02520298957824707,2947821.77734375,2922224.1484375,0.008683574123438271,0.9187308685656088
cph_query_--FyHVca3HP-QgUmcAvToA,resnet18,jacobian_colnorm,128,1.0000000000000002,1.0,0.41117706165284545,0.2889314139136583,0.010457015178843166,0.00533912920739507,1.9585619251093351,0.0,-0.02520298957824707,2948955.7421875,2918010.6484375,0.010493576864278506,0.978625476255553
cph_query_--FyHVca3HP-QgUmcAvToA,resnet18,score_gradient,128,0.6443954618282784,0.30779054916985954,0.62465884566024,0.44157167899333505,0.014857416778664876,0.005501223465751355,2.7007477284211094,0.0,-0.02520298957824707,2951715.32421875,2889972.578125,0.02091758157948103,0.978625476255553
cph_query_--FyHVca3HP-QgUmcAvToA,resnet18,margin_gradient,128,0.6214797803643036,0.3065390749601276,0.5818979954057056,0.41501548586990267,0.015836958163745092,0.00557819239943567,2.839084246242075,0.0,-0.02520298957824707,2949944.75390625,2896764.01953125,0.018027705198403896,0.978625476255553
cph_query_--FyHVca3HP-QgUmcAvToA,resnet18,uniform,128,nan,0.05548874763786291,0.1,0.0,0.0061136760185256725,0.0037566696019124715,1.6274191415218628,0.0,-0.02520298957824707,2948027.01171875,2922488.66015625,0.008662862131514428,0.978625476255553
london_query_-0u7VsCOCAmwH4RFsN5BoA,resnet18,jacobian_colnorm,32,1.0,1.0,0.42162466815173427,0.2899797286097161,0.007521941474888923,0.004280499263624966,1.7572579766125047,0.0,-0.055729448795318604,2949161.453125,2769940.46484375,0.0607701514921617,0.9204336998543752
