query_id,condition,serialisation,seed,eval_backbone,linf_projection,release_gain,max_abs_delta_prescale,mse_prescale,max_abs_delta_float,mse_float,clipped_frac_float,max_abs_delta_decoded,mse_decoded,bytes,top1,top5,top10,rank_of_positive
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,float,1234,resnet18,16.0,0.5898425150668549,16.00000762939453,45.068580627441406,9.437484741210938,15.679997444152832,0.0,9.437484741210938,15.679997444152832,0,1.0,1.0,1.0,1
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,png,1234,resnet18,16.0,0.5898425150668549,16.00000762939453,45.068580627441406,9.437484741210938,15.679997444152832,0.0,9.935005187988281,15.759188652038574,108621,1.0,1.0,1.0,1
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,jpeg95,1234,resnet18,16.0,0.5898425150668549,16.00000762939453,45.068580627441406,9.437484741210938,15.679997444152832,0.0,19.534996032714844,15.87002944946289,35270,1.0,1.0,1.0,1
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,jpeg75,1234,resnet18,16.0,0.5898425150668549,16.00000762939453,45.068580627441406,9.437484741210938,15.679997444152832,0.0,27.334999084472656,15.567665100097656,11077,1.0,1.0,1.0,1
amman_query_-39Q9edqZUArYHa41OPDoQ,direction_eot,float,1234,resnet18,16.0,0.5597707940240888,16.00000762939453,50.040985107421875,8.956336975097656,15.680002212524414,0.0,8.956336975097656,15.680002212524414,0,1.0,1.0,1.0,1
amman_query_-39Q9edqZUArYHa41OPDoQ,direction_eot,png,1234,resnet18,16.0,0.5597707940240888,16.00000762939453,50.040985107421875,8.956336975097656,15.680002212524414,0.0,9.455001831054688,15.759478569030762,108005,1.0,1.0,1.0,1
amman_query_-39Q9edqZUArYHa41OPDoQ,direction_eot,jpeg95,1234,resnet18,16.0,0.5597707940240888,16.00000762939453,50.040985107421875,8.956336975097656,15.680002212524414,0.0,20.795005798339844,15.57376766204834,34085,1.0,1.0,1.0,1
amman_query_-39Q9edqZUArYHa41OPDoQ,direction_eot,jpeg75,1234,resnet18,16.0,0.5597707940240888,16.00000762939453,50.040985107421875,8.956336975097656,15.680002212524414,0.0,30.4849853515625,15.985107421875,11020,1.0,1.0,1.0,1
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,float,1234,resnet18,,3.9649715742578793,4.942286014556885,0.9996777176856995,19.596023559570312,15.680000305175781,0.0015082465251907706,19.596023559570312,15.680000305175781,0,1.0,1.0,1.0,1
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,png,1234,resnet18,,3.9649715742578793,4.942286014556885,0.9996777176856995,19.596023559570312,15.680000305175781,0.0015082465251907706,19.585006713867188,15.773809432983398,112613,1.0,1.0,1.0,1
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,jpeg95,1234,resnet18,,3.9649715742578793,4.942286014556885,0.9996777176856995,19.596023559570312,15.680000305175781,0.0015082465251907706,20.675003051757812,18.248342514038086,40179,1.0,1.0,1.0,1
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,jpeg75,1234,resnet18,,3.9649715742578793,4.942286014556885,0.9996777176856995,19.596023559570312,15.680000305175781,0.0015082465251907706,28.93999481201172,11.359750747680664,10371,1.0,1.0,1.0,1
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,direction,float,1234,resnet18,16.0,0.5740420465268867,16.00000762939453,47.58377456665039,9.184677124023438,15.680000305175781,0.0,9.184677124023438,15.680000305175781,0,1.0,1.0,1.0,1
