run_id,backbone,placement,n_pairs,top1_reference,top1_placement,top1_diff,n_discordant,mcnemar_b_minus_c,mcnemar_exact_p,bootstrap_ci_low,bootstrap_ci_high,mcnemar_significant,cluster_robust_significant
.,resnet18,anti_oracle_grad,1200,0.195,0.1975,0.0025000000000000022,9,3,0.5078125,-0.0025,0.0075,False,False
.,resnet18,center,1200,0.195,0.20416666666666666,0.009166666666666656,59,11,0.19252645776146274,-0.0075,0.025833333333333333,False,False
.,resnet18,edge,1200,0.195,0.2,0.0050000000000000044,74,6,0.5613807442989819,-0.015,0.024166666666666666,False,False
.,resnet18,learned,1200,0.195,0.19583333333333333,0.0008333333333333248,1,1,1.0,0.0,0.0025,False,False
.,resnet18,oracle_grad,1200,0.195,0.19416666666666665,-0.0008333333333333526,65,-1,1.0,-0.0175,0.015833333333333335,False,False
.,resnet18,random_fixed,1200,0.195,0.19583333333333333,0.0008333333333333248,35,1,1.0,-0.01,0.011666666666666667,False,False
.,resnet18,saliency,1200,0.195,0.19583333333333333,0.0008333333333333248,43,1,1.0,-0.013333333333333334,0.015,False,False
