query_id,condition,serialisation,seed,eval_backbone,linf_projection,release_gain,max_abs_delta_prescale,mse_prescale,max_abs_delta_float,mse_float,clipped_frac_float,max_abs_delta_decoded,mse_decoded,bytes,top1,top5,top10,rank_of_positive
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,float,1234,resnet18,16.0,0.7912941974190725,16.00000762939453,25.04208755493164,12.660713195800781,15.680000305175781,0.0,12.660713195800781,15.680000305175781,0,0.0,0.0,0.0,19
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,png,1234,resnet18,16.0,0.7912941974190725,16.00000762939453,25.04208755493164,12.660713195800781,15.680000305175781,0.0,13.160003662109375,15.776430130004883,105160,0.0,0.0,0.0,18
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,jpeg95,1234,resnet18,16.0,0.7912941974190725,16.00000762939453,25.04208755493164,12.660713195800781,15.680000305175781,0.0,19.07500457763672,16.35056495666504,32725,0.0,0.0,0.0,13
amman_query_-39Q9edqZUArYHa41OPDoQ,direction,jpeg75,1234,resnet18,16.0,0.7912941974190725,16.00000762939453,25.04208755493164,12.660713195800781,15.680000305175781,0.0,27.56999969482422,18.222429275512695,11567,1.0,1.0,1.0,1
amman_query_-39Q9edqZUArYHa41OPDoQ,direction_eot,float,1234,resnet18,16.0,0.6461145181109819,16.00000762939453,37.560184478759766,10.337837219238281,15.680001258850098,0.0,10.337837219238281,15.680001258850098,0,0.0,1.0,1.0,3
amman_query_-39Q9edqZUArYHa41OPDoQ,direction_eot,png,1234,resnet18,16.0,0.6461145181109819,16.00000762939453,37.560184478759766,10.337837219238281,15.680001258850098,0.0,10.83502197265625,15.764979362487793,102768,0.0,1.0,1.0,3
amman_query_-39Q9edqZUArYHa41OPDoQ,direction_eot,jpeg95,1234,resnet18,16.0,0.6461145181109819,16.00000762939453,37.560184478759766,10.337837219238281,15.680001258850098,0.0,19.485000610351562,16.530349731445312,31647,0.0,1.0,1.0,3
amman_query_-39Q9edqZUArYHa41OPDoQ,direction_eot,jpeg75,1234,resnet18,16.0,0.6461145181109819,16.00000762939453,37.560184478759766,10.337837219238281,15.680001258850098,0.0,29.169998168945312,19.516008377075195,11470,0.0,1.0,1.0,2
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,float,1234,resnet18,,3.9661982603188073,4.468947410583496,0.999502420425415,17.7247314453125,15.679997444152832,0.0017415365437045693,17.7247314453125,15.679997444152832,0,1.0,1.0,1.0,1
amman_query_-39Q9edqZUArYHa41OPDoQ,isotropic,png,1234,resnet18,,3.9661982603188073,4.468947410583496,0.999502420425415,17.7247314453125,15.679997444152832,0.0017415365437045693,17.715003967285156,15.763593673706055,112609,1.0,1.0,1.0,1
