query_id,condition,purifier,draw,correct_rank,correct_place,psnr_to_clean
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,hardened,0,46,amman:37,40.7071
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,direction,0,64,amman:37,40.8386
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,none,1,52,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,hardened,1,34,amman:37,40.7425
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,direction,1,80,amman:37,40.8504
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,none,2,96,amman:37,36.1773
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,hardened,2,18,amman:37,40.7408
amman_query_-BJoV1t0rKwEzk0bsZplVQ,hardened,direction,2,11,amman:37,40.8608
amman_query_-D0IlKF__f0c9DPAKbiYnw,clean,none,0,69,amman:23,
amman_query_-D0IlKF__f0c9DPAKbiYnw,isotropic,none,0,80,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,isotropic,isotropic,0,93,amman:23,45.5171
amman_query_-D0IlKF__f0c9DPAKbiYnw,isotropic,none,1,70,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,isotropic,isotropic,1,115,amman:23,45.4692
amman_query_-D0IlKF__f0c9DPAKbiYnw,isotropic,none,2,103,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,isotropic,isotropic,2,71,amman:23,45.4921
amman_query_-D0IlKF__f0c9DPAKbiYnw,direction,none,0,317,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,direction,direction,0,36,amman:23,42.4719
amman_query_-D0IlKF__f0c9DPAKbiYnw,direction,none,1,129,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,direction,direction,1,71,amman:23,42.4067
amman_query_-D0IlKF__f0c9DPAKbiYnw,direction,none,2,872,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,direction,direction,2,143,amman:23,42.4721
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,none,0,224,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,hardened,0,366,amman:23,41.3221
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,direction,0,267,amman:23,41.6800
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,none,1,542,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,hardened,1,31,amman:23,41.3418
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,direction,1,129,amman:23,41.6343
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,none,2,249,amman:23,36.1773
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,hardened,2,12,amman:23,41.3988
amman_query_-D0IlKF__f0c9DPAKbiYnw,hardened,direction,2,57,amman:23,41.6721
amman_query_-EAmCN9i5BGEadZIccXEyA,clean,none,0,1,amman:30,
amman_query_-EAmCN9i5BGEadZIccXEyA,isotropic,none,0,1,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,isotropic,isotropic,0,1,amman:30,43.2166
amman_query_-EAmCN9i5BGEadZIccXEyA,isotropic,none,1,6,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,isotropic,isotropic,1,1,amman:30,43.2631
amman_query_-EAmCN9i5BGEadZIccXEyA,isotropic,none,2,2,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,isotropic,isotropic,2,1,amman:30,43.2141
amman_query_-EAmCN9i5BGEadZIccXEyA,direction,none,0,124,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,direction,direction,0,5,amman:30,40.7034
amman_query_-EAmCN9i5BGEadZIccXEyA,direction,none,1,342,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,direction,direction,1,3,amman:30,40.7504
amman_query_-EAmCN9i5BGEadZIccXEyA,direction,none,2,380,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,direction,direction,2,3,amman:30,40.7326
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,none,0,9,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,hardened,0,1,amman:30,40.1398
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,direction,0,1,amman:30,40.0917
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,none,1,52,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,hardened,1,3,amman:30,40.1914
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,direction,1,9,amman:30,40.1774
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,none,2,338,amman:30,36.1773
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,hardened,2,1,amman:30,40.1411
amman_query_-EAmCN9i5BGEadZIccXEyA,hardened,direction,2,1,amman:30,40.1194
amman_query_-L_vanPrT4RcWlLbzCqMKA,clean,none,0,1,amman:29,
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,none,0,1,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,isotropic,0,1,amman:29,42.2543
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,none,1,1,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,isotropic,1,1,amman:29,42.2351
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,none,2,1,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,isotropic,isotropic,2,1,amman:29,42.2306
amman_query_-L_vanPrT4RcWlLbzCqMKA,direction,none,0,10,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,direction,direction,0,2,amman:29,39.6185
amman_query_-L_vanPrT4RcWlLbzCqMKA,direction,none,1,23,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,direction,direction,1,4,amman:29,39.5436
amman_query_-L_vanPrT4RcWlLbzCqMKA,direction,none,2,5,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,direction,direction,2,8,amman:29,39.5693
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,none,0,19,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,hardened,0,5,amman:29,39.1753
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,direction,0,6,amman:29,39.0980
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,none,1,21,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,hardened,1,5,amman:29,39.2105
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,direction,1,6,amman:29,39.1078
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,none,2,15,amman:29,36.1773
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,hardened,2,3,amman:29,39.1738
amman_query_-L_vanPrT4RcWlLbzCqMKA,hardened,direction,2,3,amman:29,39.0830
amman_query_-MUBUlzvFxQS_zFg6xNhVg,clean,none,0,1,amman:6,
amman_query_-MUBUlzvFxQS_zFg6xNhVg,isotropic,none,0,15,amman:6,36.1773
amman_query_-MUBUlzvFxQS_zFg6xNhVg,isotropic,isotropic,0,1,amman:6,42.9227
amman_query_-MUBUlzvFxQS_zFg6xNhVg,isotropic,none,1,5,amman:6,36.1773
amman_query_-MUBUlzvFxQS_zFg6xNhVg,isotropic,isotropic,1,1,amman:6,42.9047
amman_query_-MUBUlzvFxQS_zFg6xNhVg,isotropic,none,2,32,amman:6,36.1773
amman_query_-MUBUlzvFxQS_zFg6xNhVg,isotropic,isotropic,2,1,amman:6,42.9111
amman_query_-MUBUlzvFxQS_zFg6xNhVg,direction,none,0,25,amman:6,36.1773
amman_query_-MUBUlzvFxQS_zFg6xNhVg,direction,direction,0,1,amman:6,40.2663
amman_query_-MUBUlzvFxQS_zFg6xNhVg,direction,none,1,9,amman:6,36.1773
amman_query_-MUBUlzvFxQS_zFg6xNhVg,direction,direction,1,3,amman:6,40.2172
amman_query_-MUBUlzvFxQS_zFg6xNhVg,direction,none,2,77,amman:6,36.1773
amman_query_-MUBUlzvFxQS_zFg6xNhVg,direction,direction,2,3,amman:6,40.2195
amman_query_-MUBUlzvFxQS_zFg6xNhVg,hardened,none,0,23,amman:6,36.1773
amman_query_-MUBUlzvFxQS_zFg6xNhVg,hardened,hardened,0,2,amman:6,39.7609
amman_query_-MUBUlzvFxQS_zFg6xNhVg,hardened,direction,0,3,amman:6,39.7159
amman_query_-MUBUlzvFxQS_zFg6xNhVg,hardened,none,1,11,amman:6,36.1773
amman_query_-MUBUlzvFxQS_zFg6xNhVg,hardened,hardened,1,3,amman:6,39.7059
amman_query_-MUBUlzvFxQS_zFg6xNhVg,hardened,direction,1,4,amman:6,39.6863
amman_query_-MUBUlzvFxQS_zFg6xNhVg,hardened,none,2,44,amman:6,36.1773
amman_query_-MUBUlzvFxQS_zFg6xNhVg,hardened,hardened,2,7,amman:6,39.7494
amman_query_-MUBUlzvFxQS_zFg6xNhVg,hardened,direction,2,6,amman:6,39.7195
amman_query_-N1g8CEJP4UIaWH8Qqja2g,clean,none,0,48,amman:26,
amman_query_-N1g8CEJP4UIaWH8Qqja2g,isotropic,none,0,14,amman:26,36.1773
amman_query_-N1g8CEJP4UIaWH8Qqja2g,isotropic,isotropic,0,28,amman:26,42.9172
amman_query_-N1g8CEJP4UIaWH8Qqja2g,isotropic,none,1,13,amman:26,36.1773
amman_query_-N1g8CEJP4UIaWH8Qqja2g,isotropic,isotropic,1,31,amman:26,42.9297
amman_query_-N1g8CEJP4UIaWH8Qqja2g,isotropic,none,2,13,amman:26,36.1773
amman_query_-N1g8CEJP4UIaWH8Qqja2g,isotropic,isotropic,2,29,amman:26,42.9316
amman_query_-N1g8CEJP4UIaWH8Qqja2g,direction,none,0,11,amman:26,36.1773
amman_query_-N1g8CEJP4UIaWH8Qqja2g,direction,direction,0,70,amman:26,40.1662
amman_query_-N1g8CEJP4UIaWH8Qqja2g,direction,none,1,1,amman:26,36.1773
amman_query_-N1g8CEJP4UIaWH8Qqja2g,direction,direction,1,32,amman:26,40.2306
amman_query_-N1g8CEJP4UIaWH8Qqja2g,direction,none,2,3,amman:26,36.1773
amman_query_-N1g8CEJP4UIaWH8Qqja2g,direction,direction,2,35,amman:26,40.2151
amman_query_-N1g8CEJP4UIaWH8Qqja2g,hardened,none,0,2,amman:26,36.1773
amman_query_-N1g8CEJP4UIaWH8Qqja2g,hardened,hardened,0,7,amman:26,39.5719
amman_query_-N1g8CEJP4UIaWH8Qqja2g,hardened,direction,0,6,amman:26,39.4945
amman_query_-N1g8CEJP4UIaWH8Qqja2g,hardened,none,1,14,amman:26,36.1773
amman_query_-N1g8CEJP4UIaWH8Qqja2g,hardened,hardened,1,13,amman:26,39.7230
amman_query_-N1g8CEJP4UIaWH8Qqja2g,hardened,direction,1,15,amman:26,39.6549
amman_query_-N1g8CEJP4UIaWH8Qqja2g,hardened,none,2,6,amman:26,36.1773
amman_query_-N1g8CEJP4UIaWH8Qqja2g,hardened,hardened,2,15,amman:26,39.7373
amman_query_-N1g8CEJP4UIaWH8Qqja2g,hardened,direction,2,14,amman:26,39.6829
amman_query_-VdxqGX8d8L_OiSEN5CtDw,clean,none,0,4,amman:0,
amman_query_-VdxqGX8d8L_OiSEN5CtDw,isotropic,none,0,15,amman:0,36.1773
amman_query_-VdxqGX8d8L_OiSEN5CtDw,isotropic,isotropic,0,7,amman:0,42.2270
amman_query_-VdxqGX8d8L_OiSEN5CtDw,isotropic,none,1,2,amman:0,36.1773
amman_query_-VdxqGX8d8L_OiSEN5CtDw,isotropic,isotropic,1,2,amman:0,42.1554
amman_query_-VdxqGX8d8L_OiSEN5CtDw,isotropic,none,2,14,amman:0,36.1773
amman_query_-VdxqGX8d8L_OiSEN5CtDw,isotropic,isotropic,2,4,amman:0,42.1463
amman_query_-VdxqGX8d8L_OiSEN5CtDw,direction,none,0,45,amman:0,36.1773
amman_query_-VdxqGX8d8L_OiSEN5CtDw,direction,direction,0,14,amman:0,39.4453
amman_query_-VdxqGX8d8L_OiSEN5CtDw,direction,none,1,26,amman:0,36.1773
amman_query_-VdxqGX8d8L_OiSEN5CtDw,direction,direction,1,17,amman:0,39.4002
amman_query_-VdxqGX8d8L_OiSEN5CtDw,direction,none,2,5,amman:0,36.1773
amman_query_-VdxqGX8d8L_OiSEN5CtDw,direction,direction,2,4,amman:0,39.4046
amman_query_-VdxqGX8d8L_OiSEN5CtDw,hardened,none,0,46,amman:0,36.1773
amman_query_-VdxqGX8d8L_OiSEN5CtDw,hardened,hardened,0,56,amman:0,39.0801
amman_query_-VdxqGX8d8L_OiSEN5CtDw,hardened,direction,0,16,amman:0,39.0062
amman_query_-VdxqGX8d8L_OiSEN5CtDw,hardened,none,1,41,amman:0,36.1773
amman_query_-VdxqGX8d8L_OiSEN5CtDw,hardened,hardened,1,54,amman:0,39.0878
amman_query_-VdxqGX8d8L_OiSEN5CtDw,hardened,direction,1,25,amman:0,39.0291
amman_query_-VdxqGX8d8L_OiSEN5CtDw,hardened,none,2,41,amman:0,36.1773
amman_query_-VdxqGX8d8L_OiSEN5CtDw,hardened,hardened,2,12,amman:0,39.1092
amman_query_-VdxqGX8d8L_OiSEN5CtDw,hardened,direction,2,12,amman:0,39.0487
amman_query_-XWB_1fOm8NW5dQx9p5IKg,clean,none,0,57,amman:35,
amman_query_-XWB_1fOm8NW5dQx9p5IKg,isotropic,none,0,49,amman:35,36.1773
amman_query_-XWB_1fOm8NW5dQx9p5IKg,isotropic,isotropic,0,38,amman:35,42.1626
amman_query_-XWB_1fOm8NW5dQx9p5IKg,isotropic,none,1,36,amman:35,36.1773
amman_query_-XWB_1fOm8NW5dQx9p5IKg,isotropic,isotropic,1,30,amman:35,42.1998
amman_query_-XWB_1fOm8NW5dQx9p5IKg,isotropic,none,2,31,amman:35,36.1773
amman_query_-XWB_1fOm8NW5dQx9p5IKg,isotropic,isotropic,2,44,amman:35,42.2172
amman_query_-XWB_1fOm8NW5dQx9p5IKg,direction,none,0,25,amman:35,36.1773
amman_query_-XWB_1fOm8NW5dQx9p5IKg,direction,direction,0,9,amman:35,39.4220
amman_query_-XWB_1fOm8NW5dQx9p5IKg,direction,none,1,22,amman:35,36.1773
amman_query_-XWB_1fOm8NW5dQx9p5IKg,direction,direction,1,20,amman:35,39.3570
amman_query_-XWB_1fOm8NW5dQx9p5IKg,direction,none,2,108,amman:35,36.1773
amman_query_-XWB_1fOm8NW5dQx9p5IKg,direction,direction,2,46,amman:35,39.3365
amman_query_-XWB_1fOm8NW5dQx9p5IKg,hardened,none,0,86,amman:35,36.1773
amman_query_-XWB_1fOm8NW5dQx9p5IKg,hardened,hardened,0,30,amman:35,39.0884
amman_query_-XWB_1fOm8NW5dQx9p5IKg,hardened,direction,0,16,amman:35,39.0300
amman_query_-XWB_1fOm8NW5dQx9p5IKg,hardened,none,1,33,amman:35,36.1773
amman_query_-XWB_1fOm8NW5dQx9p5IKg,hardened,hardened,1,24,amman:35,39.0369
amman_query_-XWB_1fOm8NW5dQx9p5IKg,hardened,direction,1,19,amman:35,38.9714
amman_query_-XWB_1fOm8NW5dQx9p5IKg,hardened,none,2,86,amman:35,36.1773
amman_query_-XWB_1fOm8NW5dQx9p5IKg,hardened,hardened,2,48,amman:35,39.0983
amman_query_-XWB_1fOm8NW5dQx9p5IKg,hardened,direction,2,30,amman:35,39.0492
amman_query_-iXxlTRmA5JphamcIjxBbA,clean,none,0,1,amman:11,
amman_query_-iXxlTRmA5JphamcIjxBbA,isotropic,none,0,1,amman:11,36.1773
amman_query_-iXxlTRmA5JphamcIjxBbA,isotropic,isotropic,0,1,amman:11,43.3043
amman_query_-iXxlTRmA5JphamcIjxBbA,isotropic,none,1,1,amman:11,36.1773
amman_query_-iXxlTRmA5JphamcIjxBbA,isotropic,isotropic,1,1,amman:11,43.2769
amman_query_-iXxlTRmA5JphamcIjxBbA,isotropic,none,2,1,amman:11,36.1773
amman_query_-iXxlTRmA5JphamcIjxBbA,isotropic,isotropic,2,1,amman:11,43.2995
amman_query_-iXxlTRmA5JphamcIjxBbA,direction,none,0,1,amman:11,36.1773
amman_query_-iXxlTRmA5JphamcIjxBbA,direction,direction,0,1,amman:11,40.5967
amman_query_-iXxlTRmA5JphamcIjxBbA,direction,none,1,1,amman:11,36.1773
amman_query_-iXxlTRmA5JphamcIjxBbA,direction,direction,1,1,amman:11,40.5637
amman_query_-iXxlTRmA5JphamcIjxBbA,direction,none,2,1,amman:11,36.1773
amman_query_-iXxlTRmA5JphamcIjxBbA,direction,direction,2,1,amman:11,40.6031
amman_query_-iXxlTRmA5JphamcIjxBbA,hardened,none,0,1,amman:11,36.1773
amman_query_-iXxlTRmA5JphamcIjxBbA,hardened,hardened,0,1,amman:11,40.1218
amman_query_-iXxlTRmA5JphamcIjxBbA,hardened,direction,0,1,amman:11,40.0580
amman_query_-iXxlTRmA5JphamcIjxBbA,hardened,none,1,1,amman:11,36.1773
amman_query_-iXxlTRmA5JphamcIjxBbA,hardened,hardened,1,1,amman:11,40.1254
amman_query_-iXxlTRmA5JphamcIjxBbA,hardened,direction,1,1,amman:11,40.0590
amman_query_-iXxlTRmA5JphamcIjxBbA,hardened,none,2,1,amman:11,36.1773
amman_query_-iXxlTRmA5JphamcIjxBbA,hardened,hardened,2,1,amman:11,40.1747
amman_query_-iXxlTRmA5JphamcIjxBbA,hardened,direction,2,1,amman:11,40.1089
amman_query_-qij8CFaEYNp4JW3rF9oqQ,clean,none,0,2,amman:32,
amman_query_-qij8CFaEYNp4JW3rF9oqQ,isotropic,none,0,2,amman:32,36.1773
amman_query_-qij8CFaEYNp4JW3rF9oqQ,isotropic,isotropic,0,1,amman:32,43.2633
amman_query_-qij8CFaEYNp4JW3rF9oqQ,isotropic,none,1,1,amman:32,36.1773
amman_query_-qij8CFaEYNp4JW3rF9oqQ,isotropic,isotropic,1,1,amman:32,43.2306
amman_query_-qij8CFaEYNp4JW3rF9oqQ,isotropic,none,2,1,amman:32,36.1773
amman_query_-qij8CFaEYNp4JW3rF9oqQ,isotropic,isotropic,2,1,amman:32,43.2240
amman_query_-qij8CFaEYNp4JW3rF9oqQ,direction,none,0,1,amman:32,36.1773
amman_query_-qij8CFaEYNp4JW3rF9oqQ,direction,direction,0,1,amman:32,40.2942
amman_query_-qij8CFaEYNp4JW3rF9oqQ,direction,none,1,1,amman:32,36.1773
amman_query_-qij8CFaEYNp4JW3rF9oqQ,direction,direction,1,1,amman:32,40.3535
amman_query_-qij8CFaEYNp4JW3rF9oqQ,direction,none,2,1,amman:32,36.1773
amman_query_-qij8CFaEYNp4JW3rF9oqQ,direction,direction,2,1,amman:32,40.3356
amman_query_-qij8CFaEYNp4JW3rF9oqQ,hardened,none,0,1,amman:32,36.1773
amman_query_-qij8CFaEYNp4JW3rF9oqQ,hardened,hardened,0,1,amman:32,39.7826
amman_query_-qij8CFaEYNp4JW3rF9oqQ,hardened,direction,0,1,amman:32,39.8374
amman_query_-qij8CFaEYNp4JW3rF9oqQ,hardened,none,1,1,amman:32,36.1773
amman_query_-qij8CFaEYNp4JW3rF9oqQ,hardened,hardened,1,1,amman:32,39.8132
amman_query_-qij8CFaEYNp4JW3rF9oqQ,hardened,direction,1,1,amman:32,39.8967
amman_query_-qij8CFaEYNp4JW3rF9oqQ,hardened,none,2,1,amman:32,36.1773
amman_query_-qij8CFaEYNp4JW3rF9oqQ,hardened,hardened,2,1,amman:32,39.8657
amman_query_-qij8CFaEYNp4JW3rF9oqQ,hardened,direction,2,1,amman:32,39.9173
amman_query_-t_-moqpBTWSiKU7mS-lgQ,clean,none,0,7,amman:23,
amman_query_-t_-moqpBTWSiKU7mS-lgQ,isotropic,none,0,6,amman:23,36.1773
amman_query_-t_-moqpBTWSiKU7mS-lgQ,isotropic,isotropic,0,6,amman:23,44.6563
amman_query_-t_-moqpBTWSiKU7mS-lgQ,isotropic,none,1,16,amman:23,36.1773
amman_query_-t_-moqpBTWSiKU7mS-lgQ,isotropic,isotropic,1,7,amman:23,44.5915
amman_query_-t_-moqpBTWSiKU7mS-lgQ,isotropic,none,2,24,amman:23,36.1773
amman_query_-t_-moqpBTWSiKU7mS-lgQ,isotropic,isotropic,2,6,amman:23,44.6168
amman_query_-t_-moqpBTWSiKU7mS-lgQ,direction,none,0,63,amman:23,36.1773
amman_query_-t_-moqpBTWSiKU7mS-lgQ,direction,direction,0,19,amman:23,41.6699
amman_query_-t_-moqpBTWSiKU7mS-lgQ,direction,none,1,67,amman:23,36.1773
amman_query_-t_-moqpBTWSiKU7mS-lgQ,direction,direction,1,5,amman:23,41.7620
amman_query_-t_-moqpBTWSiKU7mS-lgQ,direction,none,2,28,amman:23,36.1773
amman_query_-t_-moqpBTWSiKU7mS-lgQ,direction,direction,2,19,amman:23,41.6343
amman_query_-t_-moqpBTWSiKU7mS-lgQ,hardened,none,0,338,amman:23,36.1773
amman_query_-t_-moqpBTWSiKU7mS-lgQ,hardened,hardened,0,27,amman:23,40.7062
amman_query_-t_-moqpBTWSiKU7mS-lgQ,hardened,direction,0,24,amman:23,40.8903
amman_query_-t_-moqpBTWSiKU7mS-lgQ,hardened,none,1,23,amman:23,36.1773
amman_query_-t_-moqpBTWSiKU7mS-lgQ,hardened,hardened,1,10,amman:23,40.8731
amman_query_-t_-moqpBTWSiKU7mS-lgQ,hardened,direction,1,13,amman:23,41.0155
amman_query_-t_-moqpBTWSiKU7mS-lgQ,hardened,none,2,207,amman:23,36.1773
amman_query_-t_-moqpBTWSiKU7mS-lgQ,hardened,hardened,2,13,amman:23,40.7975
amman_query_-t_-moqpBTWSiKU7mS-lgQ,hardened,direction,2,16,amman:23,40.9842
amman_query_0-2jyV8XAzdAOYMkdyQVLw,clean,none,0,23,amman:6,
amman_query_0-2jyV8XAzdAOYMkdyQVLw,isotropic,none,0,430,amman:6,36.1773
amman_query_0-2jyV8XAzdAOYMkdyQVLw,isotropic,isotropic,0,45,amman:6,43.6947
amman_query_0-2jyV8XAzdAOYMkdyQVLw,isotropic,none,1,190,amman:6,36.1773
